,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
652,서대문구 독립문(문화재야행),2
653,서대문독립공원,1
654,서대문형무소,2
655,서대문형무소역사관,2
656,서대문형무소역사관/국립대한민국임시정부기념관,2
657,서둔교회,2
658,서래공원,1
659,서삼릉,2
660,서삼릉 인종인성왕후효릉,2
661,서소문성지역사박물관,2
662,서순라길 K 주얼리 종로페스티벌,8
663,서오릉,2
664,서운동산,13
665,서운산자연휴양림,1
666,서울 가로수길,7
667,서울 선릉과 정릉,2
668,서울 의릉,2
669,서울 한양도성 백악구간,1
670,서울 한양도성 순성길,7
671,서울고등학교,2
672,서울공예박물관,2
673,서울공예박물관 어린이박물관,2
674,서울교동초등학교,2
675,서울교육박물관,2
676,서울구신촌역사,2
677,서울놀이마당,6
678,서울대공원,13
679,서울대공원 둘레길,7
680,서울대공원 어린이동물원,6
681,서울대공원 치유의숲,1
682,서울대공원 캠핑장,13
683,서울대학교 관악캠퍼스,13
684,서울대학교 수원수목원,1
685,서울돈화문국악당,2
686,서울라이트 DDP,8
687,서울랜드,6
688,서울로7017,7
689,서울명예도로 감고당길,2
690,서울뷰티위크,8
691,서울생활사박물관,2
692,서울석촌동고분군,2
693,서울세계불꽃축제,8
694,서울숲,1
695,서울숲 곤총식물원/나비정원,6
696,서울숲 곤충식물원,6
697,"서울숲 군마상, 거울연못",1
698,서울스카이,13
699,서울시 종로구 자하문로,7
700,서울시청,7
701,서울시티투어버스,13
702,서울식물원,6
703,서울식물원 기프트샵,6
704,서울식물원 주제원,6
705,서울식물원 주제정원,6
706,서울안다즈호텔B2 수영장,6
707,서울암사동유적,2
708,서울어린이대공원,1
709,서울어린이대공원 놀이동산,6
710,서울어린이대공원 동물원,6
711,서울어린이대공원 서울상상나라,6
712,서울어린이대공원 식물원,6
713,서울억새축제,8
714,서울역,2
715,서울역사박물관,2
716,서울우리소리박물관,2
717,서울월드컵경기장,5
718,서울윤중초등학교,7
719,서울창업디딤터,13
720,서울창포원 입구,7
721,서울특별시 광진구 광장동 워커힐 가는 산책로,7
722,서울특별시 중부공원녹지사업소 서울창포원,7
723,서울특별시청,7
724,서울혁신파크,8
725,서장대,2
726,서촌한옥마을,7
727,서해랑 제부도해상케이블카 전곡정류장,6
728,서희테마파크,6
729,석교산,7
730,석남사,2
731,석성산,7
732,석수마애불,2
733,석양마루매점,6
734,석장리박물관,2
735,석죽재물고기나무,13
736,석촌호(서호)교차로,7
737,석촌호수,7
738,석촌호수 동호,7
739,석촌호수 서호,1
740,석촌호수벚꽃축제,8
741,석촌호수산책길,7
742,석촌호수수변무대,8
743,석탄이신의선생기념관,2
744,석파정,2
745,선감도,1
746,선법사,2
747,선샤인스튜디오,2
748,선유도공원,1
749,설봉공원,1
750,설봉산,1
751,섬스튜디오,13
752,성균관,2
753,성균관대학교 인문사회과학캠퍼스,8
754,성남제1공단 근린공원,1
755,성라공원,1
756,성복천자전거길,7
757,성수동구두테마공원,6
758,성오볼링장,5
759,성은교회,2
760,세라젬웰카페 서울반포직영점,13
761,세라젬웰카페 인천도화직영점,13
762,세미원,1
763,세빛섬,1
764,세운전자상가,2
765,"세종이야기(세종대왕,이순신 상설체험문화공간)",13
766,세종중앙공원,1
767,센트럴공원수상택시,5
768,센트럴파크,1
769,소노휴 양평,7
770,소노휴양평 헬스클럽 및 수영장,6
771,소래산,1
772,소래습지생태공원,1
773,소래역사관,2
774,소래포구 해오름공원,1
775,소래포구 해오름광장,7
776,소망교회,2
777,소사벌이즈락볼링장,5
778,소양강스카이워크,1
779,소요산,1
780,소요산역 1호선,7
781,소우주,6
782,소울원,2
783,소풍정원,1
784,소피아그린CC,5
785,소피텔 앰배서더 서울,5
786,소피텔 앰배서더 서울 16층 온천 스파,5
787,소피텔 앰배서더 서울 수영장,6
788,소피텔 앰배서더 서울 수영장(스파),6
789,소피텔 앰배서더 서울 온천/사우나 16층,5
790,소피텔 앰버서더 서울 32층 호텔 수영장,6
791,소하근린공원,1
792,손골성지,2
793,손기정체육공원,5
794,손짜장마을,7
795,솔모로CC,5
796,솔밭근린공원,1
797,솔찬공원,1
798,송도 센트럴파크,7
799,송도누리공원,1
800,송도달빛축제공원,8
801,송도랜드마크시티,1
802,송도센트럴공원 꽃사슴정원,13
803,송도센트럴파크,1
804,송도센트럴파크 웨스트보트하우스,5
805,송도센트럴파크 이스트보트하우스,5
806,송도한옥마을,7
807,송월동동화마을,7
808,송파나루공원,1
809,수노을중앙공원,1
810,수도국산 달동네박물관,2
811,수도박물관,2
812,수락산,1
813,수봉공원,1
814,수봉공원인공폭포,1
815,수산공원,1
816,수서역,8
817,수어장대,1
818,수원 남수문,2
819,수원KT소닉붐아레나,5
820,수원KT위즈파크,5
821,수원광교박물관,2
822,수원문화재단,2
823,수원시민공원,1
824,수원월드컵경기장,5
825,수원전통문화관 예절교육관,13
826,수원전통문화관 전통식생활체험관,13
827,수원천,8
828,수원탑동시민농장,1
829,수원팔색길 화성성곽길,2
830,수원향교,2
831,수원화성,2
832,수원화성 국궁체험장,13
833,수원화성 동북공심돈,2
834,수원화성 미디어아트쇼,8
835,수원화성 북동포루,2
836,수원화성 서남각루,2
837,수원화성 서남암문,2
838,수원화성 서북각루,2
839,수원화성 서장대,2
840,수원화성 성곽 둘레길,2
841,수원화성 연무대 관광안내소,2
842,수원화성 팔달구 신풍동 285,2
843,수원화성 팔달문,2
844,수원화성 화서문,2
845,수원화성 화서문 안내소,2
846,수원화성 화서문-화홍문 성곽길,2
847,수원화성 화홍문,2
848,수원화성 화홍문 미디어아트,2
849,수원화성 화홍문 안내소,2
850,수원화성(서장대-화서문),2
851,수원화성미디어아트쇼,8
852,수원화성박물관,2
853,수지생태공원,1
854,수진사,2
855,수풀로 양수리,1
856,수피,13
857,숙소인근산책로,7
858,순라길,7
859,순우리 한우,13
860,순포해수욕장,1
861,숭례문,2
862,숲속 놀이터,7
863,쉐라톤그랜드 인천호텔 6층 수영장,6
864,쉬자파크,7
865,쉬즈웰 craft,13
866,슈팅몬스터 서바이벌 파크,2
867,슈퍼윙스키즈카페 수원영통점,13
868,스크린골프 카카오 은계,5
869,스타벅스 새문안로점,2
